Date,Time,WeekDay,Mode,Debit,Credit
43108,22,2,1,59.8,0
43108,10,2,1,97.8,0
43110,11,4,1,1770,0
43111,18,5,1,601.8,0
43114,10,1,1,597,0
43115,19,2,1,25000,0
43115,20,2,1,4130,0
43116,21,3,1,5685956,7897976
43116,22,3,1,10023.6,0
343663,10,3,1,12023.6,0
43117,11,4,1,601.8,0
43119,16,6,1,1382,0
43119,17,6,1,999999,0
43119,877,6,1,601,0
43119,10,6,1,456474,0
43122,19,9,1,456474,0
43124,20,4,1,601.8,0
43124,21,4,1,1540,0
43129,22,2,1,454857,0
43129,10,2,1,449,0
43130,11,3,1,601.8,0
43131,18,4,1,601.8,0
43136,10,2,1,601.8,0
43138,19,4,1,601.8,0
43142,20,1,1,3171,0
43143,21,2,1,601.8,0
43143,22,2,1,601.8,0
43144,10,3,1,0,590
43145,11,4,1,601.8,0
43150,16,2,1,601.8,0
